trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9900498337491681}",20,0,-155.8346685506336,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.01, 'e': 0.9801986733067553}",20,0,-110.0992739986029,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.9704455335485082}",30,0,-237.23623129168848,"{0: 15, 1: 4, 2: 5, 3: 3, 4: 3}",0
4,False,"{'a': 0.01, 'e': 0.9607894391523232}",20,0,-88.26313285267386,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.951229424500714}",25,0,-96.84955296801482,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9417645335842487}",30,9,-158.23899352477562,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 2}",1
7,False,"{'a': 0.01, 'e': 0.9323938199059483}",30,9,-114.46090198178432,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 2}",1
8,False,"{'a': 0.01, 'e': 0.9231163463866358}",25,0,-177.36324353468197,"{0: 16, 1: 3, 2: 2, 3: 0, 4: 4}",0
9,False,"{'a': 0.01, 'e': 0.9139311852712282}",30,14,-78.8363048965776,"{0: 11, 1: 0, 2: 2, 3: 2, 4: 1}",1
10,False,"{'a': 0.01, 'e': 0.9048374180359595}",30,0,-159.72854480523787,"{0: 18, 1: 5, 2: 4, 3: 0, 4: 3}",0
11,False,"{'a': 0.01, 'e': 0.8958341352965282}",20,0,-138.96185960795336,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.01, 'e': 0.8869204367171575}",20,0,-49.59033972878597,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
13,False,"{'a': 0.01, 'e': 0.8780954309205613}",25,0,-115.27797784933847,"{0: 14, 1: 2, 2: 6, 3: 3, 4: 0}",0
14,False,"{'a': 0.01, 'e': 0.8693582353988059}",35,0,-98.08315497267643,"{0: 24, 1: 4, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.8607079764250578}",30,0,-241.2029537612739,"{0: 13, 1: 4, 2: 8, 3: 2, 4: 3}",0
16,False,"{'a': 0.01, 'e': 0.8521437889662113}",20,13,-29.951412039958388,"{0: 4, 1: 0, 2: 2, 3: 1, 4: 0}",1
17,False,"{'a': 0.01, 'e': 0.8436648165963837}",20,14,-1.2158438257869004,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.01, 'e': 0.835270211411272}",25,0,-24.18863111238771,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
19,False,"{'a': 0.01, 'e': 0.8269591339433623}",20,0,-19.290132670460935,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
20,False,"{'a': 0.01, 'e': 0.8187307530779818}",20,5,-102.36087388869346,"{0: 8, 1: 4, 2: 1, 3: 0, 4: 2}",1
21,False,"{'a': 0.01, 'e': 0.8105842459701871}",25,0,-54.81645263334896,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
22,False,"{'a': 0.01, 'e': 0.8025187979624785}",35,0,-153.63610330359137,"{0: 22, 1: 5, 2: 5, 3: 1, 4: 2}",0
23,False,"{'a': 0.01, 'e': 0.794533602503334}",20,0,-65.05043851900263,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
24,False,"{'a': 0.01, 'e': 0.7866278610665535}",25,0,-64.54634128505607,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
25,False,"{'a': 0.01, 'e': 0.7788007830714049}",30,0,-258.09182109111066,"{0: 14, 1: 3, 2: 8, 3: 1, 4: 4}",0
26,False,"{'a': 0.01, 'e': 0.7710515858035663}",20,4,-51.08797087254875,"{0: 11, 1: 1, 2: 2, 3: 2, 4: 0}",1
27,False,"{'a': 0.01, 'e': 0.7633794943368531}",20,0,-83.11694557841902,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
28,False,"{'a': 0.01, 'e': 0.7557837414557255}",25,0,-65.23241693485816,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
29,False,"{'a': 0.01, 'e': 0.7482635675785653}",20,0,-121.60973047252881,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
30,False,"{'a': 0.01, 'e': 0.7408182206817179}",25,0,-87.97126842214675,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
31,False,"{'a': 0.01, 'e': 0.7334469562242892}",30,0,-196.91259393767325,"{0: 19, 1: 0, 2: 6, 3: 2, 4: 3}",0
32,False,"{'a': 0.01, 'e': 0.7261490370736909}",25,5,-60.62380650060169,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",1
33,False,"{'a': 0.01, 'e': 0.7189237334319262}",30,7,-139.19788166315087,"{0: 13, 1: 2, 2: 3, 3: 4, 4: 1}",1
34,False,"{'a': 0.01, 'e': 0.7117703227626097}",25,0,-71.64147214713331,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
35,False,"{'a': 0.01, 'e': 0.7046880897187134}",25,0,-145.77723992360427,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
36,False,"{'a': 0.01, 'e': 0.697676326071031}",25,0,-86.83514350886735,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
37,False,"{'a': 0.01, 'e': 0.6907343306373547}",25,0,-58.560668711953184,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
38,False,"{'a': 0.01, 'e': 0.6838614092123558}",20,9,-10.942127024793756,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
39,False,"{'a': 0.01, 'e': 0.6770568744981647}",25,0,16.251545553768715,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",1
40,False,"{'a': 0.01, 'e': 0.6703200460356393}",25,0,-165.3147640826799,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
41,False,"{'a': 0.01, 'e': 0.6636502501363194}",30,5,-63.17097099327782,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",1
42,False,"{'a': 0.01, 'e': 0.6570468198150567}",30,15,-56.07579175077124,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 1}",1
